fid,fid_,id,ig_date,ig_day,ig_month,ig_year,last_date,event_dur,tot_pix,tot_ar_km2,fsr_px_dy,fsr_km2_dy,mx_grw_px,mn_grw_px,mu_grw_px,mx_grw_km2,mn_grw_km2,mu_grw_km2,mx_grw_dte,lc_code,lc_mode,lc_name,lc_desc,lc_type,eco_mode,eco_type,eco_name,ig_utm_x,ig_utm_y,tot_perim,bupr_sum,bupr_sum1k,mx_grw_ha
"10",0,33409,2006-03-04,63,3,2006,2006-03-24,21,4964,1065.56565424,236.380952381,50.7412216307,2593,1,2085.94641418,556.609939858,0.2146586733,447.766489836,2006-03-13,10,10,Grasslands,Dominated by herbaceous annuals (<2m),IGBP global vegetation classification scheme,9.4.3,Level III Ecoregions (NA-Commission for Environmental Cooperation),Southwestern Tablelands,-9111044.57051,3931671.71245,688378.69676,38,85,55660.9939858
"11",0,33411,2006-03-04,63,3,2006,2006-03-26,23,5204,1117.08373583,226.260869565,48.5688580798,2831,1,2380.70983859,607.698704102,0.2146586733,511.040015455,2006-03-14,10,10,Grasslands,Dominated by herbaceous annuals (<2m),IGBP global vegetation classification scheme,9.4.3,Level III Ecoregions (NA-Commission for Environmental Cooperation),Southwestern Tablelands,-9141623.2098,3961787.03903,564242.888731,38,428,60769.8704102
