id,ig_date,ig_year,event_dur,fsr_km2_dy,mx_grw_km2
1856,2001-06-04,2001,1,0.2146586733,0.2146586733
1862,2001-06-04,2001,1,0.2146586733,0.2146586733
1865,2001-06-05,2001,3,0.1431057822,0.2146586733
1872,2001-06-06,2001,10,2.21098433495,15.240765804
1876,2001-06-07,2001,8,1.26111970562,3.21988009945
1881,2001-06-08,2001,1,1.50261071308,1.50261071308
1887,2001-06-09,2001,1,0.42931734659,0.42931734659
1888,2001-06-09,2001,1,0.2146586733,0.2146586733
1889,2001-06-09,2001,1,0.2146586733,0.2146586733
1890,2001-06-09,2001,17,0.66922998145,7.72771223867
1892,2001-06-10,2001,17,0.23991263486,1.71726938637
1893,2001-06-10,2001,4,0.37565267827,0.85863469319
1896,2001-06-11,2001,1,0.2146586733,0.2146586733
1904,2001-06-12,2001,1,0.2146586733,0.2146586733
1916,2001-06-14,2001,1,0.2146586733,0.2146586733
1917,2001-06-14,2001,1,1.28795203978,1.28795203978
1918,2001-06-14,2001,1,0.2146586733,0.2146586733
1919,2001-06-14,2001,1,0.2146586733,0.2146586733
1921,2001-06-14,2001,12,0.2862115644,3.00522142615
1922,2001-06-15,2001,11,0.62446159504,3.86385611934
1923,2001-06-15,2001,12,0.84074647041,7.72771223867
1925,2001-06-18,2001,1,0.2146586733,0.2146586733
1926,2001-06-19,2001,7,0.64397601989,1.71726938637
1927,2001-06-21,2001,6,0.0715528911,0.2146586733
1928,2001-06-23,2001,2,0.2146586733,0.2146586733
1945,2001-06-24,2001,1,0.42931734659,0.42931734659
1947,2001-06-24,2001,1,0.42931734659,0.42931734659
1949,2001-06-24,2001,30,2.0249468181,24.4710887558
1951,2001-06-24,2001,1,0.85863469319,0.85863469319
1957,2001-06-25,2001,1,0.42931734659,0.42931734659
1958,2001-06-25,2001,1,0.85863469319,0.85863469319
1962,2001-06-25,2001,1,0.2146586733,0.2146586733
1964,2001-06-25,2001,1,0.2146586733,0.2146586733
1966,2001-06-25,2001,1,2.79056275285,2.79056275285
1971,2001-06-25,2001,11,1.8148415106,19.1046219234
1972,2001-06-25,2001,1,0.2146586733,0.2146586733
1974,2001-06-25,2001,24,0.73341713376,6.65441887219
1989,2001-06-25,2001,1,0.42931734659,0.42931734659
1992,2001-06-26,2001,1,0.42931734659,0.42931734659
1994,2001-06-26,2001,17,0.80812677006,9.44498162505
1995,2001-07-02,2001,11,0.05854327454,0.42931734659
1997,2001-07-05,2001,8,1.3416167081,8.15702958527
1998,2001-07-05,2001,1,0.2146586733,0.2146586733
1999,2001-07-05,2001,21,0.7053070694,5.58112550571
2000,2001-07-05,2001,6,0.50087023769,1.71726938637
2003,2001-07-05,2001,9,7.03603429138,22.7538193694
2008,2001-07-05,2001,6,0.2146586733,0.85863469319
2009,2001-07-05,2001,1,0.2146586733,0.2146586733
2011,2001-07-05,2001,1,0.2146586733,0.2146586733
2012,2001-07-05,2001,9,4.07851479263,15.6700831506
2013,2001-07-05,2001,7,0.2146586733,0.64397601989
2015,2001-07-05,2001,3,0.35776445549,0.42931734659
2018,2001-07-05,2001,8,3.56870044355,26.6176754888
2021,2001-07-05,2001,8,2.01242506215,4.93714948582
2023,2001-07-06,2001,1,0.2146586733,0.2146586733
2027,2001-07-06,2001,1,0.2146586733,0.2146586733
2029,2001-07-06,2001,1,0.42931734659,0.42931734659
2031,2001-07-06,2001,4,0.26832334162,0.85863469319
2032,2001-07-06,2001,7,0.2146586733,0.64397601989
2033,2001-07-06,2001,2,0.75130535654,1.28795203978
2034,2001-07-06,2001,1,1.07329336648,1.07329336648
2035,2001-07-06,2001,12,0.17888222775,1.07329336648
2037,2001-07-06,2001,7,0.24532419805,0.85863469319
2038,2001-07-07,2001,6,2.46857474291,9.87429897164
2039,2001-07-07,2001,1,1.28795203978,1.28795203978
2040,2001-07-07,2001,3,0.2862115644,0.42931734659
2043,2001-07-08,2001,11,1.32698088947,12.2355443779
2049,2001-07-08,2001,5,0.38638561193,0.85863469319
2052,2001-07-08,2001,8,1.66360471805,7.29839489208
2053,2001-07-08,2001,1,0.2146586733,0.2146586733
2055,2001-07-08,2001,6,0.10732933665,0.2146586733
2063,2001-07-09,2001,1,0.2146586733,0.2146586733
2065,2001-07-10,2001,1,0.2146586733,0.2146586733
2067,2001-07-10,2001,1,0.2146586733,0.2146586733
2068,2001-07-10,2001,1,0.2146586733,0.2146586733
2070,2001-07-10,2001,1,0.2146586733,0.2146586733
2072,2001-07-10,2001,1,2.14658673296,2.14658673296
2074,2001-07-10,2001,5,0.47224908125,1.28795203978
2076,2001-07-10,2001,3,0.2862115644,0.42931734659
2080,2001-07-11,2001,1,0.2146586733,0.2146586733
2081,2001-07-11,2001,1,0.2146586733,0.2146586733
2083,2001-07-11,2001,12,0.44720556937,1.28795203978
2084,2001-07-11,2001,24,1.47577837891,15.4554244773
2086,2001-07-11,2001,1,0.2146586733,0.2146586733
2088,2001-07-11,2001,1,2.57590407956,2.57590407956
2089,2001-07-11,2001,14,2.5452385548,19.53393927
2091,2001-07-11,2001,5,2.14658673296,3.43453877274
2092,2001-07-11,2001,22,1.14159385344,8.80100560516
2094,2001-07-12,2001,2,0.85863469319,1.28795203978
2096,2001-07-12,2001,6,0.60819957434,1.93192805967
2100,2001-07-12,2001,1,0.42931734659,0.42931734659
2101,2001-07-12,2001,7,0.18399314854,0.42931734659
2103,2001-07-12,2001,1,0.2146586733,0.2146586733
2105,2001-07-13,2001,4,0.10732933665,0.2146586733
2106,2001-07-13,2001,1,0.64397601989,0.64397601989
2109,2001-07-14,2001,4,2.79056275285,4.29317346593
2113,2001-07-14,2001,10,15.369561008,48.2982014917
2114,2001-07-14,2001,6,0.1431057822,0.42931734659
2117,2001-07-14,2001,11,0.87814911803,5.3664668324100004
2119,2001-07-14,2001,1,0.2146586733,0.2146586733
2121,2001-07-15,2001,1,0.42931734659,0.42931734659
2124,2001-07-15,2001,8,0.64397601989,4.07851479263
2126,2001-07-15,2001,1,0.85863469319,0.85863469319
2127,2001-07-15,2001,6,0.10732933665,0.2146586733
2129,2001-07-15,2001,1,0.2146586733,0.2146586733
2130,2001-07-15,2001,3,0.1431057822,0.2146586733
2134,2001-07-15,2001,3,6.72597176329,19.1046219234
2136,2001-07-15,2001,1,1.28795203978,1.28795203978
2137,2001-07-15,2001,4,0.69764068821,1.28795203978
2138,2001-07-15,2001,1,0.42931734659,0.42931734659
2142,2001-07-16,2001,7,0.06133104951,0.2146586733
2143,2001-07-16,2001,1,1.07329336648,1.07329336648
2146,2001-07-16,2001,2,0.2146586733,0.2146586733
2149,2001-07-16,2001,1,0.2146586733,0.2146586733
2153,2001-07-16,2001,2,0.2146586733,0.2146586733
2155,2001-07-16,2001,3,0.1431057822,0.2146586733
2157,2001-07-17,2001,1,0.42931734659,0.42931734659
2159,2001-07-17,2001,5,6.0104428523,24.2564300825
2160,2001-07-17,2001,4,0.10732933665,0.2146586733
2162,2001-07-17,2001,4,1.93192805967,6.2251015256
2164,2001-07-17,2001,5,1.97485979433,6.86907754549
2165,2001-07-17,2001,2,0.2146586733,0.2146586733
2168,2001-07-17,2001,4,0.42931734659,0.85863469319
2169,2001-07-17,2001,4,1.28795203978,2.79056275285
2171,2001-07-17,2001,1,0.2146586733,0.2146586733
2172,2001-07-17,2001,5,1.67433765171,6.0104428523
2173,2001-07-17,2001,1,0.42931734659,0.42931734659
2177,2001-07-18,2001,1,0.85863469319,0.85863469319
2178,2001-07-18,2001,4,0.10732933665,0.2146586733
2179,2001-07-18,2001,5,0.25759040796,0.64397601989
2180,2001-07-18,2001,1,0.42931734659,0.42931734659
